id,name,slug,city,state,type,has_photos,has_contact,has_hours,has_amenities,issues
"a75774f4-9ffc-4899-91cd-a43ea6d8c613","St. Patrick's Cathedral","new-york-st-patrick-s-cathedral","New York","NY","Other","Yes","Yes","No","No","No hours; No amenities"
"864c13e2-f277-49c1-bbd0-ed37b4ebfe12","Meadows Museum","meadows-museum","Dallas","TX","museum","Yes","Yes","No","No","No hours; No amenities"
"6cebb11f-228d-483f-af2c-12950f5d1411","Houston Public Library - Central","houston-library-central","Houston","TX","library","Yes","No","No","Yes","No contact info; No hours"
"43b46665-c477-4912-a4ef-ddbaa33fb755","Houston Zoo","houston-zoo","Houston","TX","museum","Yes","Yes","No","Yes","No hours"
"7b9be98a-8edf-4722-a241-4851ec81aa0e","Children's Museum Houston","childrens-museum-houston","Houston","TX","museum","Yes","Yes","No","Yes","No hours"
"07abad3e-36d5-45e4-95c4-3fcd70c40f3f","Dallas Arboretum and Botanical Garden","dallas-arboretum","Dallas","TX","park","Yes","Yes","No","Yes","No hours"
"fc59c1d2-ec1d-4171-81b5-08dac4e84900","African American Museum of Dallas","african-american-museum-of-dallas","Dallas","TX","museum","Yes","Yes","No","No","No hours; No amenities"
"a4fdb449-2369-4faf-81e1-f8e5275ac197","Perot Museum of Nature and Science","perot-museum-of-nature-and-science","Dallas","TX","museum","Yes","Yes","Yes","No","No amenities"
"f41209cb-a5ed-4610-b336-9952bd325833","Menil Park","menil-park","Houston","TX","park","Yes","No","No","No","No contact info; No hours; No amenities"
"b4f96924-e501-4b82-9645-4e99dcb2aa11","Dallas Museum of Art","dallas-museum-of-art","Dallas","TX","museum","Yes","Yes","Yes","No","No amenities"
"c8607668-39d1-41a1-b8be-00d39666b9b1","Dallas Contemporary","dallas-contemporary","Dallas","TX","museum","Yes","Yes","Yes","No","No amenities"
"70fa532c-6d39-4ba3-a7a1-88fd1d2f2be0","Crow Museum of Asian Art of The University of Texas at Dallas","crow-museum-of-asian-art-of-the-university-of-texa","Dallas","TX","museum","Yes","Yes","Yes","No","No amenities"
"e7009995-91f3-4e15-beb3-fa7a7d68fd19","Dallas Public Library - Central","dallas-library-central","Dallas","TX","library","Yes","No","No","Yes","No contact info; No hours"
